Employee_ID,First_Name,Last_Name,Age,Status,Join_Date,Salary,Email,Phone,Performance_Score,Remote_Work,Department,Region
Emp1000,Bob,Davis,25.0,Active,4/2/2021,59767.65,Bob.Davis@Example.Com,-1651623197,Average,True,Devops,California
Emp1001,Bob,Brown,32.48454882571075,Active,7/10/2020,65304.66,Bob.Brown@Example.Com,-1898471390,Excellent,True,Finance,Texas
Emp1002,Alice,Jones,32.48454882571075,Pending,12/7/2023,88145.9,Alice.Jones@Example.Com,-5596363211,Good,True,Admin,Nevada
Emp1003,Eva,Davis,25.0,Inactive,11/27/2021,69450.99,Eva.Davis@Example.Com,-3476490784,Good,True,Admin,Nevada
Emp1004,Frank,Williams,25.0,Active,1/5/2022,109324.61,Frank.Williams@Example.Com,-1586734256,Poor,False,Cloud Tech,Florida
Emp1005,Alice,Garcia,40.0,Inactive,6/10/2020,88642.84,Alice.Garcia@Example.Com,-5409003485,Good,False,Sales,Texas
Emp1006,Frank,Jones,32.48454882571075,Active,4/3/2020,96288.43,Frank.Jones@Example.Com,-4518376063,Good,False,Admin,Nevada
Emp1007,Bob,Jones,30.0,Inactive,7/17/2022,94497.91,Bob.Jones@Example.Com,-4134327559,Average,True,Cloud Tech,Florida
Emp1008,Frank,Davis,35.0,Inactive,12/8/2023,115565.82,Frank.Davis@Example.Com,-4177656123,Excellent,True,Admin,Nevada
Emp1009,Charlie,Johnson,32.48454882571075,Active,8/4/2022,76561.88,Charlie.Johnson@Example.Com,-8156985699,Excellent,True,Devops,New York
Emp1010,David,Williams,35.0,Active,7/6/2024,72081.71,David.Williams@Example.Com,-2720634590,Average,False,Cloud Tech,New York
Emp1011,David,Davis,32.48454882571075,Active,9/4/2023,84946.19,David.Davis@Example.Com,-1238296576,Poor,True,Devops,California
Emp1012,Heidi,Williams,30.0,Active,3/5/2024,89295.77,Heidi.Williams@Example.Com,-2429543164,Excellent,False,Hr,New York
Emp1013,Grace,Williams,32.48454882571075,Active,10/10/2020,85666.84,Grace.Williams@Example.Com,-2669300892,Good,False,Finance,California
Emp1014,Alice,Garcia,25.0,Active,6/10/2024,97633.68,Alice.Garcia@Example.Com,-1734206968,Excellent,True,Admin,Nevada
Emp1015,Grace,Jones,40.0,Pending,5/29/2021,117975.49,Grace.Jones@Example.Com,-4215291085,Good,True,Sales,Florida
Emp1016,Alice,Brown,25.0,Inactive,4/23/2024,94867.33,Alice.Brown@Example.Com,-7713334475,Poor,False,Devops,Illinois
Emp1017,Grace,Garcia,30.0,Pending,11/28/2024,100377.65,Grace.Garcia@Example.Com,-2639343625,Average,True,Finance,Texas
Emp1018,Charlie,Garcia,32.48454882571075,Inactive,9/19/2024,94726.46,Charlie.Garcia@Example.Com,-2044397358,Excellent,False,Cloud Tech,Nevada
Emp1019,Charlie,Williams,35.0,Pending,1/2/2020,91926.12,Charlie.Williams@Example.Com,-7107256365,Average,True,Admin,Illinois
Emp1020,Bob,Miller,35.0,Active,5/8/2021,111460.67,Bob.Miller@Example.Com,-9411800536,Excellent,True,Hr,New York
Emp1021,Bob,Jones,40.0,Active,9/19/2020,96182.56,Bob.Jones@Example.Com,-5990048963,Good,False,Cloud Tech,Illinois
Emp1022,Charlie,Johnson,35.0,Inactive,3/9/2021,115023.94,Charlie.Johnson@Example.Com,-6528092427,Average,True,Sales,Illinois
Emp1023,David,Garcia,35.0,Pending,2/3/2022,80667.01,David.Garcia@Example.Com,-7572158623,Excellent,False,Finance,Nevada
Emp1024,Bob,Brown,30.0,Inactive,2/13/2020,91181.61,Bob.Brown@Example.Com,-1502745643,Good,True,Admin,Texas
Emp1025,David,Miller,25.0,Pending,4/30/2020,66025.92,David.Miller@Example.Com,-9485625727,Average,False,Cloud Tech,Nevada
Emp1026,Frank,Miller,25.0,Inactive,10/2/2023,83979.01,Frank.Miller@Example.Com,-7032032073,Average,False,Sales,New York
Emp1027,Heidi,Johnson,30.0,Active,7/12/2020,56785.16,Heidi.Johnson@Example.Com,-2761707586,Excellent,True,Finance,Florida
Emp1028,Grace,Garcia,40.0,Active,10/11/2023,95741.88,Grace.Garcia@Example.Com,-7712151341,Excellent,False,Finance,Nevada
Emp1029,Alice,Brown,40.0,Active,5/24/2021,63411.31,Alice.Brown@Example.Com,-2849939088,Excellent,True,Devops,California
